sale_id,store_id,product_id,sale_date,quantity,total_amount
sale_172,16.0,18,2020-08-26,42,506.49
sale_173,1.0,4,2020-03-20,-4,-50.0
,10.0,32,2021-03-21,70,784.14
,20.0,9,2020-12-06,63,3073.56
sale_176,9.0,26,2021-06-25,97,2639.92
sale_177,10.0,42,2020-07-01,79,1947.04
sale_178,2.0,43,2020-05-26,82,2824.61
sale_179,18.0,18,2022-02-14,32,1343.29
sale_180,19.0,35,,6,89.9
sale_181,,14,2021-12-01,64,1661.76
sale_182,19.0,48,2021-08-08,82,3109.07
sale_183,8.0,19,2020-03-30,35,666.18
sale_184,20.0,28,2022-07-08,80,2076.0
sale_185,16.0,12,2022-12-13,81,1112.23
sale_186,12.0,24,2021-06-02,35,914.94
sale_187,17.0,12,2022-08-18,46,1415.14
,7.0,1,2020-03-14,26,496.79
sale_189,2.0,41,2022-10-05,96,1008.13
sale_190,5.0,8,2020-12-25,21,607.59
sale_191,2.0,45,2022-04-27,21,113.28
sale_192,6.0,14,2022-12-17,60,2760.42
sale_193,14.0,28,2020-06-16,54,1336.64
sale_194,12.0,29,2021-09-22,92,3485.18
sale_195,,6,2020-07-22,38,624.57
sale_196,6.0,36,2021-12-31,28,660.54
sale_197,4.0,14,2020-01-15,26,733.03
,3.0,42,2022-02-23,-1,0.0
sale_199,13.0,21,2020-08-29,25,899.81
sale_200,10.0,9,,0,-50.0
sale_201,7.0,13,2020-11-10,40,1444.66
sale_202,15.0,22,2020-03-15,74,868.76
sale_203,7.0,10,2021-09-05,-5,-50.0
sale_204,8.0,26,2022-10-11,12,163.24
,4.0,6,2020-07-07,26,671.71
sale_206,15.0,37,2021-02-27,48,992.4
sale_207,19.0,5,2022-03-08,93,712.75
sale_208,7.0,3,2020-08-03,11,95.59
sale_209,9.0,48,2021-04-21,94,3392.35
sale_210,13.0,30,2021-04-12,66,2534.33
sale_211,14.0,28,2022-02-09,22,428.19
sale_212,20.0,12,2022-05-21,74,3341.64
sale_213,3.0,37,2020-02-17,5,126.56
sale_214,8.0,38,2021-12-24,39,988.68
sale_215,15.0,8,,43,1160.39
sale_216,17.0,22,2020-10-31,99,3263.65
sale_217,16.0,32,2022-07-01,8,261.92
sale_218,10.0,32,2021-05-02,6,97.11
sale_219,6.0,3,2021-08-09,92,1596.01
,3.0,4,2022-02-16,93,1358.06
,4.0,22,2021-10-08,84,3030.59
sale_222,,20,2021-02-01,39,880.08
sale_223,19.0,19,2021-10-18,43,396.16
sale_224,14.0,22,2022-07-13,77,1283.2
sale_225,4.0,13,,8,195.71
sale_226,14.0,24,2022-10-25,42,1376.01
sale_227,11.0,20,2022-04-16,100,4043.76
sale_228,11.0,37,2021-11-27,37,394.83
,4.0,6,2022-05-21,25,206.32
sale_230,16.0,36,2022-08-10,81,1453.33
sale_231,5.0,43,2020-05-18,48,1577.68
sale_232,17.0,9,,54,1880.94
sale_233,17.0,16,2020-06-23,52,1591.3
sale_234,12.0,12,2022-10-30,68,2553.01
sale_235,13.0,10,2021-12-25,72,2744.13
sale_236,6.0,12,2022-06-15,12,359.41
sale_237,14.0,39,2022-09-20,37,1094.0
sale_238,1.0,35,2022-08-04,65,942.4
sale_239,10.0,47,2020-12-31,-5,-50.0
sale_240,10.0,10,2022-07-30,-2,0.0
sale_241,8.0,39,2020-04-26,85,1569.74
sale_242,9.0,15,2021-01-30,11,203.53
sale_243,2.0,27,,90,3532.41
sale_244,7.0,2,2021-05-10,71,1654.81
,8.0,21,2021-10-12,66,1552.16
sale_246,8.0,9,2021-08-08,25,1051.71
sale_247,9.0,43,2020-07-31,29,1384.83
sale_248,20.0,22,2021-03-12,92,569.56
sale_249,18.0,49,2020-08-16,29,382.13
sale_250,17.0,33,2020-11-15,77,2731.69
sale_251,10.0,32,2020-12-14,20,992.05
sale_252,12.0,2,2022-03-01,29,525.37
sale_253,17.0,11,2022-08-13,67,537.94
sale_254,19.0,17,2020-09-23,41,1184.46
sale_255,4.0,13,2022-08-14,4,88.83
,4.0,2,2021-09-08,17,382.05
sale_257,16.0,36,2020-12-03,52,2280.28
sale_258,3.0,21,2021-09-29,92,4042.91
sale_259,16.0,47,2021-10-12,20,379.85
sale_260,6.0,4,2022-02-13,54,1481.9
sale_261,5.0,23,2020-04-05,0,-50.0
sale_262,4.0,49,2020-05-06,9,370.06
sale_263,9.0,39,2021-01-18,24,603.01
sale_264,13.0,36,2021-03-11,90,1578.42
sale_265,19.0,3,2021-02-23,35,1631.11
sale_266,7.0,37,2022-11-02,82,3750.59
sale_267,14.0,30,2022-04-04,12,226.23
sale_268,8.0,32,2021-08-17,85,3626.36
sale_269,3.0,30,2022-02-04,30,432.15
sale_270,5.0,39,,93,1614.59
sale_271,1.0,26,2022-12-17,15,603.96
sale_272,19.0,6,2022-01-14,91,1612.76
sale_273,18.0,49,2021-02-10,33,654.92
sale_274,12.0,25,2020-06-27,76,1085.99
sale_275,3.0,24,2021-09-23,94,2002.58
sale_276,16.0,23,2022-09-17,38,679.77
sale_277,,32,2022-12-01,79,1259.61
sale_278,11.0,26,2022-08-18,10,119.64
sale_279,6.0,27,,0,-50.0
sale_280,12.0,21,2022-12-06,15,617.62
sale_281,18.0,24,2022-02-16,-1,0.0
sale_282,4.0,45,2022-02-27,72,1380.06
,11.0,38,2021-10-28,55,1511.67
,18.0,3,2020-04-10,24,455.25
sale_285,7.0,30,2022-07-24,83,516.55
sale_286,19.0,34,2021-12-15,87,2876.01
,13.0,14,2022-02-20,93,480.11
sale_288,10.0,40,,11,470.03
sale_289,4.0,50,2020-09-05,63,2908.22
sale_290,10.0,40,2020-08-13,59,374.98
sale_291,8.0,22,2021-03-20,37,570.89
sale_292,7.0,38,2020-11-24,84,2214.35
sale_293,17.0,36,2021-03-23,53,439.21
,12.0,3,2020-07-15,19,695.72
,18.0,28,2020-03-07,60,579.0
sale_296,18.0,47,,56,1310.09
sale_297,2.0,35,2022-06-04,72,3532.33
sale_298,10.0,5,2022-09-10,52,1850.96
sale_299,8.0,2,2022-10-16,17,305.73
sale_300,10.0,47,2021-07-25,89,2979.14
sale_301,16.0,15,2022-12-17,47,399.21
sale_302,9.0,49,2022-06-19,91,3503.75
sale_303,11.0,18,2020-03-10,42,1505.31
sale_304,8.0,30,2020-01-09,21,149.1
sale_305,1.0,40,2022-12-01,77,2943.48
,3.0,39,2020-09-26,88,4304.34
sale_307,15.0,10,2020-05-08,49,1119.16
sale_308,17.0,17,2022-11-16,52,1019.29
sale_309,20.0,37,2022-08-04,64,1816.34
sale_310,11.0,39,2022-06-24,-5,0.0
sale_311,15.0,32,2022-12-22,91,670.71
sale_312,17.0,12,2020-05-25,94,2078.51
sale_313,1.0,34,2021-06-01,19,474.84
sale_314,17.0,7,2021-11-23,75,2991.15
,4.0,28,2022-11-22,67,1314.01
sale_316,10.0,48,2021-11-10,-3,-50.0
sale_317,18.0,43,2022-12-14,42,460.38
sale_318,7.0,34,2020-06-11,66,2171.69
sale_319,8.0,15,2021-01-28,93,3449.09
sale_320,9.0,14,2020-09-16,-5,-50.0
sale_321,13.0,19,2021-08-17,46,1131.55
sale_322,13.0,18,2022-11-19,71,2005.58
sale_323,8.0,42,2020-01-14,-2,-50.0
sale_324,11.0,8,2022-12-17,43,363.24
sale_325,8.0,13,2021-02-13,98,1545.06
sale_326,15.0,19,2021-06-28,25,192.73
sale_327,15.0,6,2022-04-16,-4,-50.0
sale_328,,7,2021-12-16,35,605.56
sale_329,9.0,8,2021-03-08,10,223.06
sale_330,14.0,29,2021-09-11,34,1671.22
sale_331,7.0,23,2021-09-03,80,1417.93
sale_332,16.0,34,2021-03-02,53,733.94
,17.0,48,2020-02-13,74,766.72
sale_334,12.0,3,2020-06-22,54,1939.86
sale_335,3.0,13,2022-04-03,16,252.24
sale_336,13.0,22,2021-11-11,24,919.62
sale_337,12.0,35,,13,231.69
sale_338,8.0,19,2021-12-15,11,196.34
sale_339,15.0,16,2021-10-05,55,1892.32
sale_340,4.0,50,2022-09-11,8,144.18
sale_341,12.0,12,2021-09-29,18,202.03
sale_342,15.0,34,2022-04-18,33,1043.48
sale_343,7.0,7,,79,1212.39
sale_344,19.0,10,2022-08-29,26,276.96
sale_345,10.0,18,2020-10-06,32,775.6
sale_346,18.0,5,,84,4055.05
sale_347,,12,2020-03-19,79,2709.14
sale_348,18.0,49,2022-11-25,94,570.02
sale_349,12.0,20,2020-10-13,15,665.94
sale_350,4.0,4,2021-07-18,89,1784.07
sale_351,13.0,29,2021-01-15,-4,0.0
sale_352,2.0,14,2022-08-09,38,494.44
sale_353,5.0,6,2020-11-10,62,3031.56
sale_354,5.0,14,2020-07-14,76,3532.71
sale_355,14.0,25,2021-09-27,60,1227.3
sale_356,,15,2020-12-18,3,32.43
,16.0,40,2020-12-22,74,2517.78
sale_358,17.0,33,2020-06-05,57,1645.22
sale_359,9.0,49,2021-11-08,72,1384.27
sale_360,3.0,44,2021-04-08,75,1365.57
sale_361,16.0,48,2021-05-22,14,634.2
sale_362,6.0,22,2020-04-21,51,328.08
sale_363,5.0,33,,67,3100.16
sale_364,5.0,5,2021-10-02,63,2923.55
sale_365,,7,2020-08-04,53,1234.22
sale_366,14.0,33,2020-02-20,25,454.06
sale_367,19.0,14,2020-04-20,49,2223.48
sale_368,17.0,44,2020-06-27,43,1392.6
sale_369,11.0,43,2022-03-14,42,1646.44
sale_370,3.0,10,2022-03-13,61,1881.18
sale_371,5.0,22,2020-10-05,78,1961.2
sale_372,14.0,5,2020-10-09,77,1140.07
sale_373,2.0,20,2022-08-15,88,2385.19
sale_374,4.0,20,,58,737.4
sale_375,,10,2022-03-18,58,2552.18
,10.0,26,2021-01-03,19,811.04
sale_377,18.0,26,2020-01-15,0,-50.0
sale_378,7.0,7,2022-11-26,42,979.21
sale_379,13.0,47,2021-11-07,81,3115.87
sale_380,16.0,49,2020-02-12,20,397.55
,5.0,41,2021-09-14,-4,0.0
sale_382,6.0,25,2021-01-04,1,24.52
sale_383,7.0,30,2021-11-12,51,614.36
sale_384,14.0,39,,18,683.92
sale_385,4.0,34,2021-03-30,29,1275.91
sale_386,7.0,15,2022-07-17,31,1273.29
sale_387,20.0,18,2020-03-18,41,1750.85
sale_388,8.0,32,2020-06-21,3,59.45
sale_389,18.0,18,2022-05-30,74,1357.52
sale_390,19.0,48,2021-12-13,-3,-50.0
sale_391,1.0,42,2021-07-07,81,910.38
sale_392,13.0,29,2021-07-02,15,356.78
sale_393,15.0,8,2021-04-05,99,1675.83
sale_394,16.0,18,2021-07-07,50,2236.9
sale_395,9.0,21,2022-07-22,-5,-50.0
sale_396,6.0,50,2022-12-02,51,1555.74
sale_397,4.0,15,,84,3788.07
sale_398,11.0,26,2021-11-19,70,850.79
sale_399,19.0,26,2021-08-11,2,20.69
sale_400,17.0,35,,54,1733.94
sale_401,19.0,34,2023-01-01,35,692.42
sale_402,,35,2022-07-21,12,210.3
sale_403,15.0,21,,75,733.76
sale_404,2.0,34,2022-07-22,27,563.34
sale_405,14.0,15,2020-12-22,52,2363.62
sale_406,14.0,12,2020-11-15,14,586.05
sale_407,1.0,20,2020-08-23,30,1364.55
sale_408,11.0,42,2020-11-08,78,2431.06
sale_409,1.0,27,2021-11-14,97,1606.13
sale_410,18.0,47,2022-02-05,63,716.84
sale_411,13.0,18,2020-07-03,77,1109.65
,13.0,13,2020-11-16,10,485.37
sale_413,6.0,3,2020-11-20,37,1204.0
sale_414,,3,2022-05-08,40,1016.47
,11.0,28,,65,1724.55
sale_416,2.0,48,2021-10-18,62,1787.89
sale_417,18.0,3,2021-03-01,38,809.74
sale_418,2.0,36,,74,2227.9
sale_419,10.0,36,2022-07-22,37,354.76
sale_420,5.0,6,2022-07-16,37,295.1
sale_421,6.0,3,2022-03-14,2,40.93
sale_422,14.0,1,2022-10-29,52,1389.6
sale_423,13.0,2,2022-10-23,45,2213.45
sale_424,15.0,45,2022-03-07,26,339.2
,16.0,7,2022-10-01,24,265.88
sale_426,,17,,67,408.04
,4.0,13,2022-09-25,53,2127.45
sale_428,16.0,38,2021-09-08,10,97.55
sale_429,17.0,16,2021-08-08,26,282.93
sale_430,20.0,35,2020-10-02,94,1998.98
sale_431,,50,2022-04-09,-2,0.0
sale_432,,9,2021-07-09,81,3896.76
sale_433,5.0,2,,85,758.35
sale_434,17.0,50,2020-01-20,40,397.09
sale_435,5.0,44,2022-10-13,86,2515.89
sale_436,7.0,41,2020-12-15,8,226.24
sale_437,10.0,11,2020-10-24,62,2800.48
sale_438,20.0,26,2022-05-19,76,599.85
sale_439,7.0,22,2022-04-27,42,351.62
sale_440,16.0,13,2022-01-11,1,34.85
sale_441,4.0,20,2022-06-05,37,692.77
sale_442,7.0,24,2022-06-07,20,642.2
sale_443,13.0,28,2022-06-16,-1,0.0
sale_444,9.0,14,2020-06-27,61,2622.43
sale_445,8.0,40,2022-12-29,55,2303.76
sale_446,8.0,45,2021-08-27,30,284.33
sale_447,10.0,44,2022-11-16,82,2676.67
sale_448,10.0,46,2022-10-13,16,397.86
sale_449,6.0,8,2021-03-20,82,2409.88
sale_450,15.0,17,2020-01-02,58,1269.83
sale_451,,29,2022-09-13,33,875.31
sale_452,6.0,21,2020-04-26,9,168.75
sale_453,2.0,21,2021-10-21,14,394.12
sale_454,10.0,12,2022-12-31,22,244.89
sale_455,6.0,36,2021-08-04,46,1592.51
sale_456,12.0,30,2020-09-25,18,827.16
sale_457,12.0,37,2022-04-20,85,1031.83
sale_458,20.0,44,2020-07-09,99,1203.89
sale_459,2.0,33,,74,3403.65
sale_460,8.0,39,2020-01-19,80,2336.49
sale_461,2.0,27,2020-01-25,90,2369.0
sale_462,7.0,11,2020-03-16,95,3746.55
sale_463,16.0,9,2022-06-25,69,2095.45
sale_464,2.0,38,2022-07-23,5,86.38
sale_465,14.0,20,2020-11-21,12,255.1
sale_466,2.0,23,2020-07-03,23,1033.45
sale_467,9.0,30,2020-01-19,75,1742.47
sale_468,1.0,38,2020-12-31,87,947.75
sale_469,17.0,28,2021-12-26,86,3659.74
sale_470,10.0,13,2021-11-15,73,611.72
sale_471,19.0,15,2021-03-29,63,2714.82
sale_472,9.0,49,2020-09-26,84,1178.18
sale_473,13.0,42,2020-03-11,73,2986.67
sale_474,8.0,34,2020-01-10,7,264.0
sale_475,2.0,14,2022-12-04,31,211.15
sale_476,10.0,33,2022-01-03,70,3009.92
sale_477,11.0,15,2022-08-15,79,588.22
sale_478,11.0,37,2020-06-20,78,2413.11
sale_479,13.0,12,2020-01-04,59,1486.13
sale_480,8.0,19,2022-06-04,95,3912.86
sale_481,11.0,11,2022-09-20,93,3354.77
sale_482,,44,2020-03-31,13,235.29
sale_483,1.0,20,2022-02-21,-5,-50.0
sale_484,7.0,36,2022-06-18,57,630.06
sale_485,7.0,43,2022-01-16,42,481.26
sale_486,17.0,46,2020-06-17,38,1741.13
sale_487,8.0,49,2022-01-22,57,2401.3
sale_488,8.0,18,2022-09-23,32,1574.61
sale_489,11.0,11,2022-10-19,54,1114.63
sale_490,16.0,34,2021-10-22,89,717.8
sale_491,3.0,42,2020-12-27,85,2878.76
sale_492,8.0,37,2021-10-12,48,1812.64
,13.0,13,2020-07-28,53,1055.95
sale_494,6.0,4,2020-11-21,23,552.44
,15.0,48,2022-05-31,30,637.13
sale_496,,29,2021-06-15,9,222.53
,15.0,31,2021-01-22,82,3376.38
sale_498,3.0,19,2020-11-04,89,2615.36
sale_499,7.0,15,,10,431.75
sale_500,11.0,46,2021-03-31,42,1203.46
sale_501,12.0,31,2022-04-13,90,1994.59
sale_502,12.0,20,2020-09-20,49,1337.6
,1.0,2,2021-02-19,64,1795.42
,4.0,12,2020-12-08,94,3536.29
sale_505,13.0,38,2022-10-09,27,219.75
,19.0,4,2021-08-26,2,20.58
sale_507,9.0,35,2022-11-20,36,502.5
sale_508,13.0,23,2022-02-13,100,2999.36
sale_509,,34,2021-01-01,97,3776.79
sale_510,13.0,12,2020-10-19,34,1565.84
sale_511,8.0,45,2020-10-11,82,1565.0
sale_512,13.0,25,2020-09-05,-2,0.0
,9.0,11,2020-08-06,90,3311.21
sale_514,13.0,38,2022-08-21,27,1210.16
,20.0,19,2021-06-19,71,1573.07
sale_516,3.0,50,2021-09-29,29,1019.57
sale_517,17.0,45,2020-11-06,73,3571.26
sale_518,3.0,49,,94,2182.62
sale_519,8.0,11,2021-10-31,100,3539.1
sale_520,19.0,35,2020-02-27,76,3015.7
sale_521,19.0,3,2022-01-23,29,312.54
sale_522,2.0,26,2021-07-03,77,3594.94
sale_523,16.0,48,2022-07-27,79,2639.21
sale_524,2.0,7,2021-12-07,-2,0.0
sale_525,19.0,27,2022-06-27,7,199.9
sale_526,3.0,34,2022-10-09,59,598.0
sale_527,12.0,35,2021-03-16,11,494.07
,1.0,37,2020-08-15,44,1584.07
sale_529,10.0,5,2022-06-23,76,2151.54
sale_530,9.0,30,2020-08-25,27,1026.7
sale_531,19.0,19,2020-07-03,36,356.3
sale_532,9.0,46,2021-12-17,99,3858.85
sale_533,,29,2020-06-28,33,383.42
sale_534,,3,,1,22.3
sale_535,3.0,12,2021-07-13,96,1161.34
sale_536,10.0,23,2022-10-27,73,529.88
sale_537,17.0,50,2020-04-11,60,1004.58
sale_538,5.0,15,2020-12-01,62,735.33
sale_539,9.0,26,2021-12-31,3,74.21
,3.0,13,,5,152.8
sale_541,18.0,26,2021-01-24,54,1023.89
sale_542,8.0,45,2021-07-23,92,1334.27
sale_543,20.0,9,2020-01-02,72,381.18
sale_544,10.0,35,2020-04-28,22,598.72
sale_545,,7,2021-08-11,100,801.99
sale_546,7.0,18,2021-11-11,72,2532.6
sale_547,10.0,14,2022-05-08,100,1195.61
sale_548,4.0,7,2020-04-07,17,568.65
,4.0,50,2020-08-11,6,242.55
sale_550,13.0,33,2022-03-12,-3,-50.0
sale_551,3.0,32,2022-09-13,17,770.17
sale_552,10.0,7,2020-10-30,83,3859.36
sale_553,1.0,28,2020-10-06,89,4053.75
sale_554,15.0,33,2020-12-21,83,3035.95
sale_555,11.0,18,,30,1175.38
sale_556,8.0,39,2021-09-03,25,731.5
sale_557,11.0,46,2020-10-16,53,1928.85
sale_558,19.0,1,2022-07-04,85,1966.23
sale_559,11.0,1,2021-09-20,34,420.2
sale_560,15.0,4,2021-09-26,25,1177.75
sale_561,12.0,28,2022-01-18,76,2941.28
sale_562,19.0,4,2022-04-05,33,731.44
sale_563,20.0,32,2022-04-14,85,2953.55
sale_564,8.0,50,2020-11-05,97,4548.0
sale_565,18.0,35,2022-09-17,61,2260.71
sale_566,15.0,19,2020-10-29,75,2213.05
sale_567,18.0,29,2021-05-16,9,161.9
sale_568,2.0,5,2022-11-29,79,2392.74
sale_569,14.0,13,2020-02-17,88,1268.58
sale_570,12.0,48,,61,1941.69
sale_571,3.0,15,,31,1447.69
sale_572,7.0,32,2021-03-07,55,630.44
sale_573,17.0,44,2020-09-12,59,368.61
,14.0,39,2022-12-27,-3,0.0
sale_575,13.0,6,2021-08-28,63,534.69
sale_576,20.0,33,2021-02-07,2,89.61
sale_577,17.0,5,2020-06-22,86,890.78
sale_578,6.0,14,2022-07-09,70,1167.64
,5.0,12,2020-11-24,18,254.95
sale_580,8.0,15,2020-08-20,45,1312.21
sale_581,5.0,8,2020-01-25,77,2400.9
sale_582,7.0,8,2021-04-05,48,955.61
sale_583,7.0,36,,10,221.38
sale_584,16.0,18,2022-01-15,85,4057.16
sale_585,3.0,26,2021-06-16,3,126.7
,20.0,23,2022-05-24,38,778.86
sale_587,15.0,37,2020-06-10,10,84.54
sale_588,4.0,45,2022-01-08,31,627.31
sale_589,18.0,30,2022-04-26,100,1088.99
,2.0,6,,51,1637.74
sale_591,14.0,40,2022-08-29,11,265.51
sale_592,11.0,21,2022-05-29,42,2007.06
sale_593,13.0,49,,67,2820.51
sale_594,3.0,17,2020-07-06,13,66.54
